RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	相对重心	变差方差根	平均中位数	平均斜率	标签
0.267	0.242	0.378	0.209	0.701	0.345	0.203	0.510576426	0.0221671	0.221568966	0.008055172	4
0.262	0.236	0.375	0.199	0.706	0.344	0.202	0.510576426	0.0221671	0.221568966	0.008055172	6
0.254	0.23	0.374	0.198	0.699	0.344	0.231	0.510576426	0.0221671	0.221568966	0.008055172	3
0.254	0.233	0.375	0.193	0.695	0.334	0.216	0.510576426	0.0221671	0.221568966	0.008055172	5
0.27	0.249	0.347	0.2	0.688	0.332	0.219	0.510576426	0.0221671	0.221568966	0.008055172	3
0.275	0.254	0.355	0.193	0.701	0.338	0.225	0.510576426	0.0221671	0.221568966	0.008055172	4
0.264	0.244	0.386	0.198	0.719	0.343	0.247	0.510576426	0.0221671	0.221568966	0.008055172	5
0.247	0.227	0.385	0.211	0.73	0.341	0.257	0.510576426	0.0221671	0.221568966	0.008055172	3
0.255	0.234	0.347	0.216	0.732	0.335	0.218	0.510576426	0.0221671	0.221568966	0.008055172	5
0.284	0.261	0.287	0.205	0.724	0.334	0.214	0.502216749	0.024366025	0.2	0.001576355	5
0.299	0.275	0.282	0.189	0.715	0.336	0.196	0.502216749	0.024366025	0.2	0.001576355	4
0.299	0.273	0.323	0.19	0.694	0.335	0.171	0.502216749	0.024366025	0.2	0.001576355	5
0.28	0.256	0.37	0.195	0.67	0.343	0.2	0.502216749	0.024366025	0.2	0.001576355	6
0.264	0.239	0.379	0.182	0.665	0.345	0.21	0.502216749	0.024366025	0.2	0.001576355	6
0.264	0.236	0.38	0.2	0.665	0.336	0.2	0.502216749	0.024366025	0.2	0.001576355	5
0.272	0.243	0.377	0.21	0.65	0.334	0.192	0.502216749	0.024366025	0.2	0.001576355	5
0.273	0.245	0.378	0.2	0.64	0.337	0.197	0.502216749	0.024366025	0.2	0.001576355	5
0.256	0.229	0.374	0.175	0.643	0.347	0.207	0.502216749	0.024366025	0.2	0.001576355	5
0.251	0.225	0.368	0.168	0.638	0.348	0.187	0.502216749	0.024366025	0.2	0.001576355	5
0.25	0.224	0.35	0.179	0.627	0.345	0.178	0.502216749	0.024366025	0.2	0.001576355	5
0.245	0.221	0.354	0.183	0.638	0.346	0.224	0.502216749	0.024366025	0.2	0.001576355	5
0.231	0.211	0.373	0.174	0.663	0.352	0.222	0.502216749	0.024366025	0.2	0.001576355	7
0.238	0.219	0.381	0.183	0.667	0.352	0.184	0.502216749	0.024366025	0.2	0.001576355	5
0.288	0.266	0.32	0.194	0.659	0.341	0.205	0.498880597	0.011198721	0.207076923	-0.001846154	5
0.31	0.286	0.292	0.191	0.661	0.336	0.217	0.498880597	0.011198721	0.207076923	-0.001846154	5
0.322	0.298	0.261	0.181	0.672	0.334	0.215	0.498880597	0.011198721	0.207076923	-0.001846154	5
0.32	0.298	0.207	0.156	0.714	0.333	0.208	0.498880597	0.011198721	0.207076923	-0.001846154	5
0.277	0.259	0.319	0.143	0.766	0.343	0.209	0.498880597	0.011198721	0.207076923	-0.001846154	6
0.256	0.239	0.36	0.133	0.753	0.346	0.203	0.498880597	0.011198721	0.207076923	-0.001846154	5
0.243	0.226	0.372	0.135	0.723	0.343	0.199	0.498880597	0.011198721	0.207076923	-0.001846154	5
0.234	0.216	0.372	0.168	0.717	0.34	0.218	0.49117225	0.038118813	0.2223125	-0.026952381	4
0.235	0.215	0.363	0.204	0.717	0.33	0.251	0.49117225	0.038118813	0.2223125	-0.026952381	5
0.236	0.216	0.36	0.208	0.719	0.331	0.226	0.49117225	0.038118813	0.2223125	-0.026952381	5
0.236	0.215	0.361	0.199	0.726	0.329	0.184	0.49117225	0.038118813	0.2223125	-0.026952381	5
0.235	0.214	0.375	0.182	0.726	0.319	0.188	0.510147467	0.022181237	0.195842857	0.005606723	5
0.236	0.215	0.394	0.186	0.706	0.329	0.203	0.510147467	0.022181237	0.195842857	0.005606723	5
