Depth	GR2
3155.5	0.635
3155.625	0.623
3155.75	0.614
3155.875	0.608
3156	0.585
3156.125	0.528
3156.25	0.472
3156.375	0.426
3156.5	0.391
3156.625	0.382
3156.75	0.378
3156.875	0.372
3157	0.364
3157.125	0.352
3157.25	0.342
3157.375	0.327
3157.5	0.308
3157.625	0.301
3157.75	0.307
3157.875	0.323
3158	0.34
3158.125	0.367
3158.25	0.416
3158.375	0.461
3158.5	0.505
3158.625	0.546
3158.75	0.568
3158.875	0.56
3159	0.525
3159.125	0.473
3159.25	0.41
3159.375	0.375
3159.5	0.372
3159.625	0.409
3159.75	0.466
3159.875	0.525
3160	0.569
3160.125	0.573
3160.25	0.557
3160.375	0.543
3160.5	0.541
3160.625	0.545
3160.75	0.554
3160.875	0.57
3161	0.599
3161.125	0.622
3161.25	0.634
3161.375	0.636
3161.5	0.629
3161.625	0.615
3161.75	0.599
3161.875	0.579
3162	0.558
3162.125	0.552
3162.25	0.562
3162.375	0.582
3162.5	0.597
3162.625	0.599
3162.75	0.58
3162.875	0.554
3163	0.533
3163.125	0.516
3163.25	0.512
3163.375	0.51
3163.5	0.506
3163.625	0.505
3163.75	0.514
3163.875	0.527
3164	0.534
3164.125	0.533
3164.25	0.527
3164.375	0.526
3164.5	0.532
3164.625	0.535
3164.75	0.507
3164.875	0.456
3165	0.377
3165.125	0.281
3165.25	0.228
3165.375	0.206
3165.5	0.2
3165.625	0.21
3165.75	0.23
3165.875	0.249
3166	0.253
3166.125	0.243
3166.25	0.223
3166.375	0.206
3166.5	0.189
3166.625	0.176
3166.75	0.181
3166.875	0.191
3167	0.193
3167.125	0.188
3167.25	0.185
3167.375	0.185
3167.5	0.179
3167.625	0.169
3167.75	0.162
3167.875	0.163
3168	0.168
3168.125	0.174
3168.25	0.176
3168.375	0.17
3168.5	0.157
3168.625	0.147
3168.75	0.151
3168.875	0.164
3169	0.174
3169.125	0.177
3169.25	0.184
3169.375	0.193
3169.5	0.196
3169.625	0.184
3169.75	0.168
3169.875	0.149
3170	0.136
3170.125	0.14
3170.25	0.158
3170.375	0.179
3170.5	0.187
3170.625	0.183
3170.75	0.169
3170.875	0.153
3171	0.129
3171.125	0.1
3171.25	0.069
3171.375	0.042
3171.5	0.038
3171.625	0.047
3171.75	0.052
3171.875	0.049
3172	0.047
3172.125	0.054
3172.25	0.067
3172.375	0.087
3172.5	0.121
3172.625	0.152
3172.75	0.184
3172.875	0.211
3173	0.214
3173.125	0.203
3173.25	0.193
3173.375	0.189
3173.5	0.176
3173.625	0.158
3173.75	0.138
3173.875	0.123
3174	0.119
3174.125	0.12
3174.25	0.125
3174.375	0.131
3174.5	0.14
3174.625	0.147
3174.75	0.149
3174.875	0.148
3175	0.147
