_GR	_RT	_AC	_CAL	_DEN	_CNL	_RXO
91.368	24.325	66.429	9.597	2.517	9.61	23.048
93.221	23.992	66.501	9.59	2.515	10.359	22.932
94.343	23.928	66.441	9.584	2.514	11.138	22.995
93.199	24.157	66.171	9.577	2.511	11.343	23.298
90.13	24.817	65.538	9.565	2.506	10.914	23.993
87.411	25.591	64.824	9.554	2.502	10.446	24.745
85.392	26.744	64.157	9.547	2.501	10.129	25.824
83.939	28.149	63.583	9.542	2.501	9.89	27.135
84.152	30.264	63.321	9.536	2.509	9.703	29.127
85.759	33.86	63.128	9.53	2.523	9.44	32.548
87.2	37.013	62.758	9.528	2.536	9.233	35.567
87.064	40.749	62.284	9.533	2.549	9.08	39.151
86.035	47.484	61.477	9.54	2.565	9.055	45.607
85.666	54.106	60.965	9.542	2.576	9.131	51.977
87.478	60.41	60.472	9.528	2.587	8.879	58.232
91.58	63.616	60.028	9.497	2.6	7.999	62.013
96.048	61.024	61.113	9.471	2.61	7.107	60.073
104.44	54.08	64.032	9.451	2.619	6.704	52.626
115.226	46.799	67.994	9.434	2.627	6.832	44.211
127.053	41.082	70.085	9.425	2.635	8.32	36.94
137.298	35.239	71.547	9.42	2.642	12.314	29.79
139.753	32.038	73.568	9.421	2.645	15.798	26.581
139.288	30.152	73.996	9.428	2.642	17.505	25.371
140.426	28.434	73.612	9.436	2.636	19.045	24.37
142.619	27.58	73.341	9.438	2.631	19.672	23.943
143.479	27.446	73.189	9.432	2.627	19.748	24.074
141.441	28.247	72.949	9.423	2.625	19.41	25.034
137.962	29.492	72.724	9.416	2.625	18.822	26.281
134.961	31.08	72.456	9.409	2.626	17.96	27.876
133.525	33.374	72.358	9.4	2.627	17.042	30.392
134.154	35.213	72.392	9.395	2.626	16.747	32.609
134.925	36.786	72.632	9.387	2.623	17.185	34.764
135.511	37.892	73.203	9.377	2.619	17.895	36.474
137.588	37.566	73.838	9.369	2.614	18.644	36.686
143.126	35.913	74.46	9.364	2.609	19.236	35.698
